tepsilon_PV,tepsilon_defint,tepsilon_nodefint
0.099052246,0.033473299,0.054869012
0.099075869,0.033046563,0.056931425
0.098932164,0.033081366,0.056995565
0.098954644,0.032283717,0.059266531
0.099215145,0.032516152,0.059170433
0.099368072,0.032634904,0.05628323
0.098024551,0.033016499,0.050815548
0.097877919,0.031203468,0.056101571
0.093610951,0.034554459,0.04735412
0.078264781,0.026820705,0.048407173
0.079388637,0.032452536,0.044921983
0.09075838,0.032146996,0.044561473
0.09098757,0.064754475,0.035134511
0.074563406,0.06314931,0.030148228
0.072048587,0.063051703,0.029330674
0.072379947,0.067189977,0.033592349
0.071396376,0.067628053,0.025875195
0.066592362,0.03572568,0.024196578
0.069428031,0.035338034,0.0233789
0.069042796,0.034143206,0.026098991
0.068858775,0.034167929,0.0273903
0.068677322,0.064719706,0.025660624
0.068907715,0.090280542,0.020345252
0.069291232,0.090103939,0.020375676
